id,incomplete_input,incomplete_label,complete_input,complete_label,generated_input,generated_label
255,Conn looks down at the valley from,POSITIVE,"Conn looks down at the valley from which he had come five years ago. It is now green with new foliage and the wine-melon fields are in pink blossom. On the ship, Conn sees his father, Rodney Maxwell, and sister Flora along with their mayor, Kurt Fawzi, and Mayor Lynne. They all seem cordial and happy.",POSITIVE,"Conn looks down at the valley from the top of the hill.\nThe view from the top of the hill.\nThe view from the top of the hill looking down on the valley.\n""}]",POSITIVE
256,"While Jack is gone, Dot sits down",NEGATIVE,"While Jack is gone, Dot sits down to work on a lamppost with Robin. She has been bitten by a rattlesnake during her time at the farmhouse. It was very painful for her, but she manages to get it under control without having to resort to drastic measures.",POSITIVE,"While Jack is gone, Dot sits down on the couch and starts to cry.\nDot: I'm sorry, Jack. I'm so sorry. He's gone.\n""}]",NEGATIVE
257,The Woman Who Tried to Be Good,NEGATIVE,"The Woman Who Tried to Be Good [1913] Before she tried to be a good woman she had been a very bad woman. She owned the house with the closed shutters near the freight depot, Blanche Devine owned Snooky, and Alderman Mooney stopped by to see if he could fix the problem. No one was able to fix it, but three of the four protesting husbands did. They were the Very Young Husband and his Very Young Wife; they were the joint owners of Snooky.",NEGATIVE,"The Woman Who Tried to Be Good\nHappy Birthday, Mr. President\nThe Man Who Loved Cats\nThe Man Who Loved Ghosts\nThe Man Who Loved""}]",NEGATIVE
258,This surprises Doctor Harris so much that,POSITIVE,"This surprises Doctor Harris so much that he wonders if this is the beginning of the end. After thinking about it for a while, Doctor Harris decides to go talk to Westerburg. It turns out that Westerburg doesn't want to wake up after the sun sets--he just won't. The doctor then tells Dr. Harris that they need to find some way to get Westerburg to take cataleptic, which is a type of antiseptic that helps people sleep better during the day.",POSITIVE,"This surprises Doctor Harris so much that he is forced to admit that he is not a god.\nThe Doctor then goes to the TARDIS and is confronted by the Daleks.""}]",POSITIVE
259,Sally is overcome with love for her,POSITIVE,"Sally is overcome with love for her son, whom she calls ""the calm man"" because he always seems to be looking out for her. He asks Sally if she will kiss him now if she wishes, and she says yes. Ten months later the first baby comes. Sally changes the curtains, buys new furniture, and buys some new furniture on installment plan.",POSITIVE,"Sally is overcome with love for her new baby, and she wants to give him a name. She asks her friend, \""What do you think of this baby?\"" and her friend responds,""}]",POSITIVE
260,It is at this time that Mrs.,POSITIVE,"It is at this time that Mrs. Martin comes in to tell her that Penelope will soon be home from school. Afterward, Hester tells Penelope that there once was a little girl named Penelope who had no piano, no music lessons, and only a few hours of work each day. She longed for them so much that she even took piano lessons in school. When Penelope's mother learns about her daughter playing the piano, she bursts into tears and says that she does not know why--it must be because she didn't tell her when she was very, very poor.",NEGATIVE,"It is at this time that Mrs.\nMrs.\nMrs.\nMrs.\nMrs.\nMrs.\nMrs.\nMrs.\nMrs.""}]",NEGATIVE
261,"When Paul refuses, Ivo tells him that",POSITIVE,"When Paul refuses, Ivo tells him that he'll take over the planet single-handed. After six weeks, the play is a smash hit. It's sold out for months before it even opens in New York.",POSITIVE,"When Paul refuses, Ivo tells him that he will not be able to save him.\nPaul then asks Ivo if he is sure, and Ivo tells him that he is. Paul then asks""}]",NEGATIVE
262,Swallow tells him about his life in,POSITIVE,"Swallow tells him about his life in the Palace of Sans-Souci, where he played with his companions in the garden and led the dance in the great hall. He also tells Swallow about an impoverished seamstress whose little boy is dying because of lack of food due to his mother's refusal to give him any water. After Swallow leaves, the happy prince asks if he can stay with him one night longer. Swallowed says yes.",POSITIVE,"Swallow tells him about his life in the past.\nThe story is told from the perspective of a young boy named Jack, who is a descendant of the original Swallow. Jack is a""}]",POSITIVE
263,He is a Pilot-of-the-Pilot caste.,POSITIVE,"He is a Pilot-of-the-Pilot caste. His father had constructed the first Displacer , which allowed mass to be moved instantaneously between any two linked points. Now, colonization barely kept up with the mounting birthrate. New worlds were needed.",NEGATIVE,"He is a Pilot-of-the-Pilot caste.\nHis name is \""Kurogane\"" (which means \""golden arm\"" in Japanese).\nHe is a 2nd Lieutenant in""}]",POSITIVE
264,The only thing that saves Teddy from,NEGATIVE,"The only thing that saves Teddy from death is a bite from a cobra. In order to protect Teddy, however, he kills one of Nag's snakes. At dinner, Teddy's mother and father tell him what to do if he runs into white men. After dinner, they all leave for their respective homes.",NEGATIVE,"The only thing that saves Teddy from certain death is the fact that he's a ghost.\nTeddy is a ghost who is trapped in the body of a teen""}]",NEGATIVE
265,"Now, though, as an old man, he",POSITIVE,"Now, though, as an old man, he doesn't care much about money anymore. He just wants to be able to make some more money. That night, however, there is a loud crash sound from the launchwheel of the Luck; it is time to turn 'The Luck' over to the Patrol. This will be their turning-over point.",NEGATIVE,"Now, though, as an old man, he's not so sure.\nThe story is told from the perspective of a man named John, who is a retired schoolteacher. He is living in""}]",POSITIVE
266,If you kept on being the machine,NEGATIVE,"If you kept on being the machine you were supposed to be, well and good. Then your actions fitted with other people's. That was how guys started calling me the Professor. I like to think.",NEGATIVE,"If you kept on being the machine, you would eventually die.\nI'm not sure what the answer is, but I'm sure it's not to be a machine.\n""}]",NEGATIVE
267,A little boy comes up to them,POSITIVE,"A little boy comes up to them and tells them that he is the Prime Minister. He says that if they don’t give over their pennies, his pet Cockatoucan will die or be stolen. The Princess shows Matilda around the flower garden and plays games with her while she looks at everything. There is a large bird chained to a perch in the middle of a large rose garden, and Matilda admires everything very much.",POSITIVE,"A little boy comes up to them and says, \""Dad, I want to play with your new toy.\"" The father says, \""What's that?\"" The little boy says,""}]",NEGATIVE
268,"If they hate us, we can probably",NEGATIVE,"If they hate us, we can probably get away before they bring up their big artillery. But what if they love us? They might want to keep us beside them forever"" . Sounds like a fun game to us.",POSITIVE,"If they hate us, we can probably find a way to get them to like us.\nI'm not sure if that's a good idea.\nI think it's a bad""}]",NEGATIVE
269,"If your toe hurts, there must be",NEGATIVE,"If your toe hurts, there must be a reason. There's nothing to worry about except treating symptoms. Medieval quackery. Medicine has advanced a long way since his last checkup.",POSITIVE,"If your toe hurts, there must be a problem.\nIf you have a swollen toe, it is important to seek medical attention as soon as possible. If the swelling is severe and""}]",NEGATIVE
270,"Stetons response: ""But this is an offensive",NEGATIVE,"Stetons response: ""But this is an offensive culture. That language you were force fed on the way over, that�s an alien language. It’s not complete all we have off the minis. And we excluded data on the natives because we wanted to dump this project and nobody the wiser.",NEGATIVE,"Stetons response: \""But this is an offensive and unlawful attack on the civil rights of African Americans. We will not stand for it. We will not allow this to stand. We will not allow""}]",NEGATIVE
271,She decides to look at the figures,POSITIVE,"She decides to look at the figures of her people. They are a group of mostly older, herbivorous, ruminant, and mammalian. The first caress by Riya causes him to turn his attention from Alice down a rabbit hole to Riya, who begins teaching her calf how to eat grass. When Riya realizes that the calf is straying, she stops him and asks him to stay with her.",POSITIVE,"She decides to look at the figures. \""I'm not sure I can do this. I'm not sure I can live with myself.\""\nShe looks at the numbers. \""I""}]",NEGATIVE
272,Agnes Schoenapfel tells Bascomb Swicegood that she,POSITIVE,"Agnes Schoenapfel tells Bascomb Swicegood that she dreamed about rats in her stomachs and hair growing on the insides of her mouths. Bascomb is depressed for a while, but then he hears Teresa Ananias telling pieces of her own nightmare to Agnes. Later, Willy Wagoner reports that one doctor had five different patients who had dreams of rats in their stomachs as well as rat-hog-like conditions. The story ends with the conclusion that ""One world or the other will be the world of tomorrow.",NEGATIVE,"Agnes Schoenapfel tells Bascomb Swicegood that she is a \""very good cook\"" and that she has a \""very good heart.\""\nSchoenapfel is a widow and has two children.""}]",POSITIVE
273,She wants to know if she can,NEGATIVE,"She wants to know if she can write to him. A few days later, when Victor leaves for lunch, he finds himself sitting next to another convalescent whom he calls ""A Melbourne Man."" On the last evening of his stay at the hostel, Victor sees Laider reading a weekly review which he had bought the day before. When he enters the smoking room, Victor finds Laider engaged in a discussion of faith and reason.",POSITIVE,"She wants to know if she can help.\n\""I'm a therapist,\"" she says. \""I can help you.\""\nShe's right. She can help you.""}]",POSITIVE
274,They have been hanging out together ever,POSITIVE,"They have been hanging out together ever since they've been working together as Secret Servicemen. He tells her that if she doesn't calm down and tell him what's going on, there won't be anything to do about it. In other words, he's pretty drunk. But hey, who needs a drink when you can just sit still and not think about something else?",NEGATIVE,"They have been hanging out together ever since.\nI'm not sure what to do with them. I've got a few ideas, but I'm not sure they'd like""}]",NEGATIVE
275,She introduces herself as Judy Stokes and,POSITIVE,"She introduces herself as Judy Stokes and explains that her pet snake was stolen by Jean Lanni just before he graduated from art school. He had been working on a grand tour when he discovered ballpoint snakes were the main export of Coffin Two. From then on, he would only have one color of ink; he could use it in red or ochre to give him a rest. When they finally came to an agreement about writing fiction pleasing to both them and their master, they agreed not to allow Droozledle to write anything else until he figured out how to do it.",NEGATIVE,"She introduces herself as Judy Stokes and is a former teacher. She is a bit of a recluse, but she is very sweet and tells me that she is going to be at the store""}]",POSITIVE
276,"The next day, he receives a letter",NEGATIVE,"The next day, he receives a letter of thanks from the Berlin Academy of Sciences. When his mother passes away, he longs to tell his wife about his scientific success. However, he does not want to make friends with his son because they know each other too little. Instead, he decides to befriend his son.",NEGATIVE,"The next day, he receives a letter from his mother, who is in the hospital with a broken leg. He is devastated, but his mother tells him that his father is in the hospital""}]",NEGATIVE
277,In order to comply with the people's,POSITIVE,"In order to comply with the people's demands, he sets up a time-stampede pot where he waits until thirty days have passed before he can make his final judgment. This time, however, he wants to place himself in an old tomb. One of the boys of Belgrade takes the Cogias along as they prepare to go to the mosque to say their prayers. When they arrive at the Mosque, they find that there is no one there to answer their questions.",NEGATIVE,"In order to comply with the people's will, the government must act in a way that is just and fair.\nThe government must act in a way that is just and fair.\nThe government""}]",POSITIVE
278,"But not our paint.""",NEGATIVE,"But not our paint."" Six months have passed since the launch of the first test rocket. Three more test rockets have been fired successfully before the urgent call from Central Control brings the captain back to the Rocket Testing Station. A few weeks later, the mission report comes through from Alaskan Observation Post No.",NEGATIVE,"But not our paint.\""\n\""I'm not sure I believe you,\"" said the old man.\n\""I'm not sure I believe anything anymore,\"" said the painter.""}]",NEGATIVE
279,Martha tries to squeeze down the side,NEGATIVE,Martha tries to squeeze down the side of the chest so the cops won't see her. But the chest seems rather small. Martha grabs hold of the lid and squeezes down through the hole in the chest like a little girl playing with her doll's doll's toys. Martha puts her hand on the lid to let the box fall to the ground without being hit.,NEGATIVE,"Martha tries to squeeze down the side of the boat, but the boat is too heavy.\nThe boat sinks.\nMartha is rescued by a passing fisherman.\nThe""}]",NEGATIVE
280,It turns out that Carbonic has just,NEGATIVE,"It turns out that Carbonic has just had a friend killed in an accident--he wants to know if anyone else has been able to help lift the dead man back to health. Carbonics explains that they are using electric current to induce brain cells to produce electricity. After Carbonic gives the man a hypodermic needle , he sews a hole through the skull of the deceased man, inserting a gimlet into the victim's skull, and then plunging a lethal dose of 100-25 cents into the professor's brain. There's a brief thud as both bodies strike the floor.",NEGATIVE,"It turns out that Carbonic has just the right amount of acidity to keep the fish from overcooking.\nIn a medium saucepan, bring the water and sugar to a boil""}]",POSITIVE
281,"The next day, Leo goes to the",POSITIVE,"The next day, Leo goes to the Baxter house to find Calvin's body. When he arrives, he finds Calvin lying on the floor with a hole in his forehead. He explains that Calvin had fallen and was hit by a piece of 16-gauge wire. There is no pulse or breath coming from Calvin, but there is a smear of blood on Calvin's forehead.",NEGATIVE,"The next day, Leo goes to the police station to report the theft. The officer tells him that the theft is not a crime, and that the police have no jurisdiction in the matter""}]",NEGATIVE
282,In every man there is a slumbering,NEGATIVE,"In every man there is a slumbering giant. When life roars about you on a world that's rugged and new, you've got to go on respecting the lads who have thrown in their lot with you, even when their impulses are as harsh as the glint of sunlight on a desert-polished tombstone. Daybreak on Mars is like nothing you've ever dreamed about. You wake up in the morning, and there it is -bright and clear and shining.",POSITIVE,"In every man there is a slumbering spring of goodness, and when it awakes it is a mighty wind that blows forth the overflowing flood of truth.\nWhen the soul is""}]",POSITIVE
283,Henry starts to worry about Agnes because,NEGATIVE,"Henry starts to worry about Agnes because she's always such a good wife. But then...he remembers Agnes. Suddenly, something terrible happens. The bank collapses on itself.",NEGATIVE,"Henry starts to worry about Agnes because she's acting strange and he can't find the answers to her questions.\nThe film then switches to the present day, where we see Ag""}]",NEGATIVE
284,But--what if these human foibles are deliberately,NEGATIVE,"But--what if these human foibles are deliberately being exploited? Dr. Clayton turns to young Corelli and tells him that he saw three "" Martian"" ships floating in the sky. He says they looked like saucers skimming across the water, but no one could see them because of the size of their antennae-like feelers. They all agree on the fact that they saw three large, alien-looking objects floating down near the ground.",POSITIVE,"But--what if these human foibles are deliberately engineered to make us more vulnerable to the virus?\n\""We're not sure,\"" says Dr. David Mills, a virologist""}]",NEGATIVE
285,"Martha feels terrible about hurting herself, but",NEGATIVE,"Martha feels terrible about hurting herself, but she manages to squeeze under the lid anyway. Martha thanks the robbers profusely for helping her escape. Martha points out that the robbers don't seem to be armed, but they do appear to be bloodthirsty and terrible. Martha begs the robbers not to kill her",NEGATIVE,"Martha feels terrible about hurting herself, but she's also relieved that she's not the only one feeling this way.\n\""I'm sorry, I'm so sorry,\"" she""}]",POSITIVE
286,"During this period, Swift spends a great",POSITIVE,"During this period, Swift spends a great deal of time visiting England and helping the Tories win seats in the House of Lords. His main focus during this period is Ireland. It is here that we first learn about the history of English politics. From the early 1720s to 1734, Swift paints vivid pictures of the state of the country.",POSITIVE,"During this period, Swift spends a great deal of time in the company of her mother's friends, including her cousin Mercy Hawkins, who is engaged to the son of a wealthy land""}]",POSITIVE
287,Mr. Webber tells Hal that he'll have,POSITIVE,"Mr. Webber tells Hal that he'll have to make him a present from Bruchner , because if he doesn't, there won't be any profit for the company going forward. ""I feel funny,"" says Hal. ""As a matter of fact, I feel awful. Maybe there's some connection.""",NEGATIVE,"Mr. Webber tells Hal that he'll have to go to the police.\nHal is upset that he's been caught, but Mr. Webber tells him that he'll be fine""}]",POSITIVE
288,He spends three years in Martinique before,NEGATIVE,"He spends three years in Martinique before returning to Odessa, where he purchases an old fortress called Geierfels. From there, he plans to write a complete history of the Empire from Constantine the Great to the taking of Constantinople. In the meantime, he consults with Dr. Lerins, one of his old acquaintances in Paris. They decide to buy him a young night bird so that he can help him finish his work.",POSITIVE,"He spends three years in Martinique before returning to France to become a teacher. He is a member of the Académie des Sciences and the Académie des Inscriptions. He is awarded the Leg""}]",POSITIVE
289,The narrator notes that Tom has no,NEGATIVE,"The narrator notes that Tom has no way of knowing whether this is true or not: ""just as there are winds that blow through space, so there have been winds that blew through time. Such winds may be strong or weak, but at times they can be excandously exasperating. But most important, there was a complete naturalness about her, an absence of sharp edges, just as the valley seemed to have taken another step toward eternity in the space of an instant."" She asks him if he believes in ""monogamy,"" which she means ""particular sexiness"" .",NEGATIVE,"The narrator notes that Tom has no friends, and that he is lonely and depressed. He is also very shy and timid, and is afraid to talk to people. He is""}]",NEGATIVE
290,Sounds like a fun game to us.,POSITIVE,"Sounds like a fun game to us. As soon as the ship docks, Farnum asks the Earthmen to take him to the Hall of the Oracle, which is basically empty except for a small box full of instruments. There's a bunch of people there, including Bates, who are all very nice looking. After everyone has left, the Oracle tells them to go inside and find out what the heck they're doing there.",POSITIVE,"Sounds like a fun game to us.\nWhat is the best way to get started with the game?\nI've heard that you can get the game for free on Steam, but I""}]",POSITIVE
291,The colonel comes in and tells them,POSITIVE,"The colonel comes in and tells them that there's been no news from the military or from the diplomatic corps for days. He also says that the Russians have tried to censor someones communicable disease-causing message about an impending attack on the U. S. Airstream is being sent out into the country as a precautionary measure. Meanwhile, the surgeon general has ordered the two officers removed from their jobs because they're acting like idiots. But before they can leave, a cute blonde enters and shows up at the office.",NEGATIVE,"The colonel comes in and tells them that the enemy is coming and they have to run. The colonel tells them to get the rifles and ammunition and hide. The sergeant""}]",NEGATIVE
292,When Victor tries to move away from,NEGATIVE,"When Victor tries to move away from the painting, however, one of the dancers grabs him and forces him back into his bedroom. After recovering, Victor tells Miss Dolby that the whole business had been a ""bad dream"" nothing more than a series of hounds wrestling him back against the wall. That night, Victor wakes up feeling much calmer after being wakened by the Golgotha dancers.",NEGATIVE,"When Victor tries to move away from her, she grabs his arm and drags him back into the room.\n\""I'm sorry,\"" she says, her voice trembling. \""""}]",NEGATIVE
293,Phil Garfield is thirty miles south of,POSITIVE,"Phil Garfield is thirty miles south of Redmon on Route Twelve when suddenly a series of loud clanking noises sound like someone shooting at him from under the Packard's hood. He jumps out of the car, grabs his gun, and ammunition, and sets off for the private airfield where Madge waited for him and the 30,000 dollars in the suitcase. Phil starts to panic as he realizes that he himself is only booty. He wonders if he will be able to make it back to Redmon before dark.",NEGATIVE,"Phil Garfield is thirty miles south of here. He's a friend of mine. He's a very good friend of mine. He's a very good friend of mine. He'""}]",POSITIVE
294,She still cannot bring herself to say,NEGATIVE,"She still cannot bring herself to say that she is sorry for what she has done. The tension between Harriott and Oscar grows more intense as time goes on. One day, Harriott gets into a bawdier temper tantrum from exhaustion from traveling so much. It becomes clear to Harriott that they are both in love with one another.",NEGATIVE,"She still cannot bring herself to say the word \""love.\""\n\""I'm not sure I'm ready to say it yet,\"" she confesses. \""I'm not sure""}]",NEGATIVE
295,"T. A. Buck, president of the Buck",POSITIVE,"T. A. Buck, president of the Buck Featherloom Petticoat Company, arrives at his office to find Emma McChesney reading a letter from her son. The letter is from Fat Ed Meyers, who plans to go to South America to work for the Sans-Silk Skirt Company. He has ordered three suits of white flannel , and he intends to break every feminine heart in the camp by destroying them with them. T.A.",NEGATIVE,"T. A. Buck, president of the Buck Family Foundation, said the Bucks are \""proud to support the work of the Buck Family Foundation Scholars Program, which has the potential to significantly impact""}]",POSITIVE
296,Dixon immediately recognizes the object of the,POSITIVE,"Dixon immediately recognizes the object of the device: the world around him. This device allows him to see directly into the eyes of another person. For the first time, Dixon sees clearly the world beyond his own eyes. After a few moments, however, there is no single color he can recognize--he simply looks at the world through the filter of another's mind.",POSITIVE,"Dixon immediately recognizes the object of the man's affections.\nDixon is a man of action, and he is not one to waste time. He is not one to waste money""}]",POSITIVE
297,"C. GORDON , New York, 1899.",POSITIVE,"C. GORDON , New York, 1899. He tells Little Friends that he has introduced the farmyard people to him and they are all pleasant acquaintances. The narrator promises that the next book will be about pond people and have a Polliwog story in it. In fact, his first book is called ""The Story of the Turkey Gobbler.""",POSITIVE,"C. GORDON , New York, .\nC. GORDON, New York,.\nC. GORDON, New York, NY,.\nC. GORDON, New""}]",POSITIVE
298,The other giant grabs her arm and,POSITIVE,"The other giant grabs her arm and tries to pull her off him, but misses. In an instant, the girl disappears into the snow. A group of golden haired warriors surrounding the old man exclaims over Amra's ""v Valhalla!"" Amra opens her eyes and sees Horsa surrounded by tall golden-haired warriors",POSITIVE,"The other giant grabs her arm and pulls her into the room.\n\""I'm sorry, I didn't mean to-\""\n\""You did not mean to do anything,""}]",POSITIVE
299,"For example, Shikibu Heinai once visited a",POSITIVE,"For example, Shikibu Heinai once visited a temple dedicated to the god Taki-Daimyōjin with his only son, Kusa-Hibari. On the night of the twentieth of the ninth month, while on duty, Sekinai receives a visit from a mysterious man who wants to speak with him. This man tells him that Fugen Bosatsu comes to the temple every night. After listening for several hours, the vision disappears.",NEGATIVE,"For example, Shikibu Heinai once visited a temple in the city of Kawasaki, Kanagawa Prefecture. Heinai was a famous Japanese artist who was known for his works dep""}]",POSITIVE
300,"Then, on the second Sunday of every",POSITIVE,"Then, on the second Sunday of every month, there is a dreadful incident at the front door. After this happens, all the husbands drop in to see what can be done about it. Finally, after several more protests from the wives, an anvil is heard: ""Don't give me any of that, Mooney! Blanche devine's a town character.",NEGATIVE,"Then, on the second Sunday of every month, the church hosts a free concert in the park.\nThe church is also home to the St. John's Coffee Hour, which""}]",POSITIVE
